ID,ADM1_CODE,ADM1_NAME,XCOORD,YCOORD,ELEVATION,SLOPE,ASPECT
5168200,2716,Andalucia,-4.416295,37.356665,490,5.20387,168.02386
5168300,2716,Andalucia,-4.371141,37.357197,498,5.81411,308.5412
5168400,2716,Andalucia,-4.325985,37.357712,696,2.40742,222.39743
5168500,2716,Andalucia,-4.280828,37.358209,966,16.39889,222.39743
5168600,2716,Andalucia,-4.235671,37.35869,768,4.80143,135
5168700,2716,Andalucia,-4.190512,37.359153,783,15.45685,207.31561
5168800,2716,Andalucia,-4.145352,37.359599,749,6.24331,254.24883
5168900,2716,Andalucia,-4.100191,37.360028,962,8.45153,272.08258
5169000,2716,Andalucia,-4.055029,37.360439,1015,7.94023,194.57422
5169100,2716,Andalucia,-4.009866,37.360833,824,4.11032,298.00916
5169200,2716,Andalucia,-3.964702,37.36121,1135,11.66627,27.23515
5169300,2716,Andalucia,-3.919538,37.36157,1050,4.40056,201.61478
5169400,2716,Andalucia,-3.874373,37.361913,980,11.6274,128.07278
5169500,2716,Andalucia,-3.829207,37.362238,919,16.18265,347.64465
5169600,2716,Andalucia,-3.78404,37.362546,816,5.70447,161.07535
5169700,2716,Andalucia,-3.738873,37.362837,1225,12.9552,207.61761
5169800,2716,Andalucia,-3.693705,37.36311,794,15.48943,295.69135
5169900,2716,Andalucia,-3.648536,37.363367,936,6.19121,106.63095
5170000,2716,Andalucia,-3.603367,37.363606,819,9.11858,288.13019
5170100,2716,Andalucia,-3.558197,37.363827,818,6.73446,100.53918
5170200,2716,Andalucia,-3.513027,37.364032,987,9.78903,290.13629
5170300,2716,Andalucia,-3.467857,37.364219,1034,5.149,278.61566
5170400,2716,Andalucia,-3.422686,37.364389,1161,8.40672,343.55139
5170500,2716,Andalucia,-3.377514,37.364542,1587,18.89789,207.47443
5170600,2716,Andalucia,-3.332343,37.364678,1461,4.07985,150.52411
